page_no,price,beds,baths,house_area,id,address
13,343000,2,2,1113,zpid_71250319,"2107 Catharine St # A, Philadelphia, PA"
13,1150000,6,5,6024,zpid_10275589,"6720 Wissahickon Ave, Philadelphia, PA"
13,189900,3,1,1096,zpid_10297841,"3142 Cedar St, Philadelphia, PA"
13,299900,4,1,2869,zpid_10279744,"111 E Upsal St, Philadelphia, PA"
13,169000,3,2,1170,zpid_10511807,"6528 Cottage St, Philadelphia, PA"
13,299000,2,1,1316,zpid_10323506,"2533 Tulip St, Philadelphia, PA"
13,515000,4,1,1984,zpid_10181909,"754 S Warnock St, Philadelphia, PA"
13,289500,4,3,2000,zpid_10486535,"2650 Lenape Rd, Philadelphia, PA"
13,619900,3,4,2515,zpid_102979997,"946 New Market St, Philadelphia, PA"
13,160000,3,2,1356,zpid_10479392,"1343 S 54th St, Philadelphia, PA"
13,360000,4,2,2194,zpid_10284349,"518 Carpenter Ln, Philadelphia, PA"
13,265000,2,3,1100,zpid_2090398931,"912 New Market St # B, Philadelphia, PA"
13,275000,3,2,1426,zpid_10323395,"2610 Tulip St, Philadelphia, PA"
13,168700,8,3,3096,zpid_10316160,"1720 N 24th St, Philadelphia, PA"
13,279900,4,3,2490,zpid_10518928,"8036 Dorcas St, Philadelphia, PA"
13,257900,3,2,1400,zpid_10280201,"424 E Montana St, Philadelphia, PA"
13,1425000,9,6,7240,zpid_10215481,"8305 Seminole St, Philadelphia, PA"
13,479000,3,2,1934,zpid_10212277,"300 Crest Park Rd, Philadelphia, PA"
14,199900,3,2,2014,zpid_10345280,"1710 N 62nd St, Philadelphia, PA"
14,229900,3,1,1062,zpid_10270091,"473 Markle St, Philadelphia, PA"
14,199900,3,2,1308,zpid_10172751,"509 Mifflin St, Philadelphia, PA"
14,145000,4,2,1350,zpid_10595397,"2049 W Indiana Ave, Philadelphia, PA"
14,895000,3,4,2434,zpid_165609981,"151 N 2nd St APT 5, Philadelphia, PA"
14,129875,3,1,1290,zpid_10571734,"4740 Shelmire Ave, Philadelphia, PA"
14,294900,3,1,1416,zpid_10258236,"530 E Thompson St, Philadelphia, PA"
14,379000,2,2,1350,zpid_10179340,"905 S Fairhill St, Philadelphia, PA"
14,985000,3,3,2301,zpid_90198796,"813 N Ringgold St, Philadelphia, PA"
14,319,4,5,2348,zpid_10576458,"9232 Edmund St, Philadelphia, PA"
